run,node_type,access_type,waitloop_iter,throughput,cache_misses
1,pmem,pgn,300,2655,60295913
1,pmem,seq_prefetch,300,2457,104461567
1,pmem,rnd_prefetch,300,2431,103196285
1,pmem,pgn_prefetch,300,4912,60336125
1,dram,seq,350,2118,104415742
1,dram,rnd,350,1923,103063216
1,dram,pgn,350,3926,60290792
1,dram,seq_prefetch,350,2117,104343800
1,dram,rnd_prefetch,350,2118,103045783
1,dram,pgn_prefetch,350,4223,60259717
1,pmem,seq,350,2116,104460516
1,pmem,rnd,350,1210,103186268
1,pmem,pgn,350,2447,60301471
1,pmem,seq_prefetch,350,2118,104458104
1,pmem,rnd_prefetch,350,2110,103281597
1,pmem,pgn_prefetch,350,4250,60415253
1,dram,seq,400,1861,104350334
1,dram,rnd,400,1714,103048493
1,dram,pgn,400,3480,60260201
1,dram,seq_prefetch,400,1867,104288282
1,dram,rnd_prefetch,400,1864,103076592
1,dram,pgn_prefetch,400,3730,60243204
1,pmem,seq,400,1859,104463566
1,pmem,rnd,400,1123,103235874
1,pmem,pgn,400,2268,60335165
1,pmem,seq_prefetch,400,1865,104446285
1,pmem,rnd_prefetch,400,1861,103137575
1,pmem,pgn_prefetch,400,3647,60300257
1,dram,seq,450,1661,104298131
1,dram,rnd,450,1540,103066089
1,dram,pgn,450,3123,60279964
1,dram,seq_prefetch,450,1665,104357018
1,dram,rnd_prefetch,450,1664,103166061
1,dram,pgn_prefetch,450,3329,60290320
1,pmem,seq,450,1660,104435702
1,pmem,rnd,450,1045,103277859
1,pmem,pgn,450,2111,60349113
1,pmem,seq_prefetch,450,1666,104453620
1,pmem,rnd_prefetch,450,1662,103529218
1,pmem,pgn_prefetch,450,3291,60283198
1,dram,seq,500,1501,104293829
1,dram,rnd,500,1402,103071484
1,dram,pgn,500,2838,60267905
1,dram,seq_prefetch,500,1503,104329610
1,dram,rnd_prefetch,500,1502,103182549
1,dram,pgn_prefetch,500,3018,60344289
1,pmem,seq,500,1501,104434930
1,pmem,rnd,500,980,103255084
1,pmem,pgn,500,1975,60350094
1,pmem,seq_prefetch,500,1503,104385278
1,pmem,rnd_prefetch,500,1501,103257451
1,pmem,pgn_prefetch,500,2958,60273112
2,dram,seq,0,82236,104624028
2,dram,rnd,0,24582,102871698
2,dram,pgn,0,69108,60190452
2,dram,seq_prefetch,0,82304,104620652
2,dram,rnd_prefetch,0,24402,103044162
2,dram,pgn_prefetch,0,67024,60266978
2,pmem,seq,0,47103,104551172
2,pmem,rnd,0,7068,102868469
2,pmem,pgn,0,19069,60159216
2,pmem,seq_prefetch,0,46948,104562004
2,pmem,rnd_prefetch,0,7048,103076662
2,pmem,pgn_prefetch,0,18968,60256104
2,dram,seq,50,15676,104546080
2,dram,rnd,50,8841,102951326
2,dram,pgn,50,19007,60227154
2,dram,seq_prefetch,50,15664,104578278
2,dram,rnd_prefetch,50,13546,103123632
2,dram,pgn_prefetch,50,30788,60308599
2,pmem,seq,50,15569,104509419
2,pmem,rnd,50,2391,103053156
2,pmem,pgn,50,4866,60286266
2,pmem,seq_prefetch,50,15569,104530246
2,pmem,rnd_prefetch,50,4473,103148419
2,pmem,pgn_prefetch,50,9302,60302393
2,dram,seq,100,6670,104499120
2,dram,rnd,100,5073,102976145
2,dram,pgn,100,10804,60227649
2,dram,seq_prefetch,100,6732,104496612
2,dram,rnd_prefetch,100,6484,103157290
2,dram,pgn_prefetch,100,13455,60325831
2,pmem,seq,100,6616,104536965
2,pmem,rnd,100,1993,103127195
2,pmem,pgn,100,4058,60268859
2,pmem,seq_prefetch,100,6612,104526746
2,pmem,rnd_prefetch,100,3763,103135311
2,pmem,pgn_prefetch,100,7840,60329769
2,dram,seq,150,4661,104439528
2,dram,rnd,150,3808,102961457
2,dram,pgn,150,7965,60236393
2,dram,seq_prefetch,150,4699,104436235
2,dram,rnd_prefetch,150,4613,102953100
2,dram,pgn_prefetch,150,9297,60230853
2,pmem,seq,150,4621,104560940
2,pmem,rnd,150,1768,103089464
2,pmem,pgn,150,3591,60273144
2,pmem,seq_prefetch,150,4657,104568616
2,pmem,rnd_prefetch,150,3353,103146574
2,pmem,pgn_prefetch,150,6942,60284396
2,dram,seq,200,3578,104401885
2,dram,rnd,200,3052,102997843
2,dram,pgn,200,6335,60239307
2,dram,seq_prefetch,200,3602,104406338
2,dram,rnd_prefetch,200,3575,102984582
2,dram,pgn_prefetch,200,7175,60242916
2,pmem,seq,200,3554,104503603
2,pmem,rnd,200,1586,103172809
2,pmem,pgn,200,3215,60291188
2,pmem,seq_prefetch,200,3584,104480412
2,pmem,rnd_prefetch,200,3021,103153767
2,pmem,pgn_prefetch,200,6216,60295770
2,dram,seq,250,2912,104357405
2,dram,rnd,250,2547,103016390
2,dram,pgn,250,5246,60236548
2,dram,seq_prefetch,250,2927,104392912
2,dram,rnd_prefetch,250,2914,103001996
2,dram,pgn_prefetch,250,5826,60245179
2,pmem,seq,250,2892,104486111
2,pmem,rnd,250,1435,103117472
2,pmem,pgn,250,2907,60275147
2,pmem,seq_prefetch,250,2919,104446067
2,pmem,rnd_prefetch,250,2734,103106395
2,pmem,pgn_prefetch,250,5600,60297690
2,dram,seq,300,2452,104389371
2,dram,rnd,300,2187,103054203
2,dram,pgn,300,4485,60238871
2,dram,seq_prefetch,300,2457,104362786
2,dram,rnd_prefetch,300,2455,103022959
2,dram,pgn_prefetch,300,4908,60252167
2,pmem,seq,300,2448,104475317
2,pmem,rnd,300,1314,103167482
2,pmem,pgn,300,2661,60277585
2,pmem,seq_prefetch,300,2456,104470367
2,pmem,rnd_prefetch,300,2433,103221561
2,pmem,pgn_prefetch,300,4913,60339668
2,dram,seq,350,2117,104320561
2,dram,rnd,350,1924,103041785
2,dram,pgn,350,3927,60256254
2,dram,seq_prefetch,350,2120,104279581
2,dram,rnd_prefetch,350,2119,103021439
2,dram,pgn_prefetch,350,4228,60248860
2,pmem,seq,350,2117,104449595
2,pmem,rnd,350,1213,103211144
2,pmem,pgn,350,2452,60311588
2,pmem,seq_prefetch,350,2118,104449671
2,pmem,rnd_prefetch,350,2111,103285804
2,pmem,pgn_prefetch,350,4253,60373101
2,dram,seq,400,1861,104349834
2,dram,rnd,400,1706,103062733
2,dram,pgn,400,3471,60255771
2,dram,seq_prefetch,400,1865,104377398
2,dram,rnd_prefetch,400,1864,103078598
2,dram,pgn_prefetch,400,3730,60260090
2,pmem,seq,400,1861,104445545
2,pmem,rnd,400,1124,103214691
2,pmem,pgn,400,2267,60308442
2,pmem,seq_prefetch,400,1865,104445866
2,pmem,rnd_prefetch,400,1861,103090268
2,pmem,pgn_prefetch,400,3650,60220720
2,dram,seq,450,1662,104275211
2,dram,rnd,450,1540,103077211
2,dram,pgn,450,3122,60265545
2,dram,seq_prefetch,450,1667,104310529
2,dram,rnd_prefetch,450,1664,103126659
2,dram,pgn_prefetch,450,3334,60298064
2,pmem,seq,450,1659,104442287
2,pmem,rnd,450,1048,103237701
2,pmem,pgn,450,2115,60338280
2,pmem,seq_prefetch,450,1666,104423465
2,pmem,rnd_prefetch,450,1663,103233964
2,pmem,pgn_prefetch,450,3288,60284361
2,dram,seq,500,1505,104211888
2,dram,rnd,500,1401,103058088
2,dram,pgn,500,2840,60270932
2,dram,seq_prefetch,500,1503,104211319
2,dram,rnd_prefetch,500,1503,103217882
2,dram,pgn_prefetch,500,3012,60292111
2,pmem,seq,500,1501,104409790
2,pmem,rnd,500,981,103247365
2,pmem,pgn,500,1975,60362136
2,pmem,seq_prefetch,500,1502,104408205
2,pmem,rnd_prefetch,500,1502,103290332
2,pmem,pgn_prefetch,500,2986,60347966
