exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,cpu-cycles,instructions
membench,1,dram,seq_prefetch,100,0.000000,8.583529632,104285039,171521265,7752631988,171520,503333,2004337,2871096,163448103,95410627,170556852,151522856,0,3621,100659626,0,100728054,15264280009,33344649302,71988691225
membench,1,dram,pgn_prefetch,100,0.000000,9.543014018,107806639,176843544,7951759849,208272,609725,1987129,2867732,6447915893,6372193900,177056859,151914232,0,5835,100080060,0,100769660,15353568000,37065580128,72517163825
membench,1,dram,rnd_prefetch,100,0.000000,10.729993297,101039128,170251785,8440697072,746741,1322649,2026774,2892852,6349722625,6274704873,170373144,150814443,0,5621,100570197,0,100630802,15833570345,41671745587,75643654886
membench,1,pmem,seq,100,0.000000,8.754305487,103281155,169350652,7554143970,659815,1153417,23193,2949473,377693484,310739985,171150804,148351684,0,2635,0,0,100349006,15269556869,34014835483,71730791857
membench,1,pmem,pgn,100,0.000000,46.692077903,107475754,178016411,7765826769,261347,100329909,84409,2931709,149293451232,149001916657,182120403,153085731,0,6891,0,0,100268282,15310902884,181463141191,71915465377
membench,1,pmem,rnd,100,0.000000,48.206463444,101058994,172736527,8253912555,262617,100343626,94792,3068767,149365598279,149078299220,173681381,150177973,0,12136,28,0,100291388,15810940873,187368808563,75209738536
membench,1,pmem,seq_prefetch,100,0.000000,8.862622028,102883061,170154009,7762116219,160021,507770,22966,2921726,401763801,339057722,170341790,147119991,0,1422,100241431,0,100344290,15244439541,34428651051,72020904227
membench,1,pmem,pgn_prefetch,100,0.000000,24.790262643,107578459,176777177,7958035513,620530,1319888,55854,2963592,64956012746,64864883251,178875460,151305676,0,5598,100174158,0,100281376,15317728795,96338032335,72376513993
membench,1,pmem,rnd_prefetch,100,0.000000,25.881701128,101184594,171220456,8465225342,210903,513558,56606,2966031,65077992163,65037224456,172317696,149485776,0,6300,100190811,0,100324160,15814177595,100594468065,75668887765
membench,1,dram,seq,200,0.000000,11.031889032,102789905,170251995,7556210572,686820,1263546,2015625,2882916,147288568,77206693,170505184,148880534,0,2710,19,0,100505009,25285342062,42849649110,111708340864
membench,1,dram,pgn,200,0.000000,18.637973386,107265737,177038079,7759536625,98479646,101161271,2006973,2917870,30965462527,30890043123,177262149,144306919,0,3232,0,0,100315889,25339068824,72382822230,112020798716
membench,1,dram,rnd,200,0.000000,20.073354002,100892396,171802582,8265942117,98662372,101035952,1984387,2845038,30981334844,30915356262,170869529,144596118,0,1363,0,0,100281211,25832681674,77978249854,115320162993
membench,1,dram,seq_prefetch,200,0.000000,11.145629698,102785080,170144183,7753504395,151264,594464,1995576,2897228,128574007,60128258,170742322,145076857,0,3797,100266205,0,100410552,25270187138,43278696434,112080997345
membench,1,dram,pgn_prefetch,200,0.000000,11.716789723,107685212,177155824,7948873628,733115,1392212,1952178,2899633,3005145148,2939609863,177062710,143893051,0,1374,100323109,0,100393924,25366808641,45513305463,112587928220
membench,1,dram,rnd_prefetch,200,0.000000,13.054178999,101619493,170267399,8432267412,153849,702148,2001484,3023442,2983724982,2911333957,170912395,145986383,0,2456,99565754,0,99786576,25808952869,50700945137,115604114995
membench,1,pmem,seq,200,0.000000,11.312007883,104292178,170448752,7556646873,172205,613983,28655,2926478,359523027,283989257,171701243,151751053,0,5598,0,0,100471963,25286062324,43955140418,111709879313
membench,1,pmem,pgn,200,0.000000,49.276846331,107414290,178715392,7770193018,267435,100337450,86350,2936189,149338002210,149062964612,181293326,150320016,0,1530,0,0,100298205,25318580312,191538193774,112003670040
membench,1,pmem,rnd,200,0.000000,50.690307230,102457704,173972752,8280046623,782054,100350970,92148,2957332,148851148211,148815512181,172955774,150159771,0,1372,9,0,100324501,25822514717,197034618965,115274719180
membench,1,pmem,seq_prefetch,200,0.000000,11.431602935,103107223,169525208,7749741720,172300,584174,31376,2936061,424902433,321874273,173611859,153557188,0,6301,100040873,0,100482585,25303554937,44423657941,112146747845
membench,1,pmem,pgn_prefetch,200,0.000000,26.096633307,107594862,177057831,7962871395,215110,609589,60712,2939449,60108586006,59812850325,180784706,151538654,0,5368,100155413,0,100617841,25327732753,101428817894,112435898368
membench,1,pmem,rnd_prefetch,200,0.000000,27.241857991,101562431,171264944,8456101704,195635,550724,36694,2945281,60289519306,60141819996,174967467,153068293,0,5516,100117583,0,100323979,25837042411,105818765976,115689522961
membench,1,dram,seq,300,0.000000,13.630290432,102825458,170589088,7559812877,209692,725866,2005507,2879750,453994373,160727317,172703910,146168354,0,5249,23,0,100425397,35312224843,52909998012,151845963870
membench,1,dram,pgn,300,0.000000,21.398481335,107368218,176947507,7756068874,98381993,100496379,2035898,2903862,31689075191,31613884858,176949465,144513698,0,3861,9027,0,100262386,35347791222,83133950077,152067617917
membench,1,dram,rnd,300,0.000000,22.776227877,100966947,171067940,8246087461,98348553,100457402,1959966,2839323,31386078433,31315365586,171605142,147891667,0,5722,8727,0,100267080,35850930611,88477230367,155288162037
membench,1,dram,seq_prefetch,300,0.000000,13.714552199,102599879,171215639,7764468307,153315,662389,1973113,2869512,210004349,123808349,171802594,144828447,0,1385,100255208,0,100325616,35276824220,53276207468,152090931159
membench,1,dram,pgn_prefetch,300,0.000000,13.900674777,108934143,178497199,7962114045,179158,747801,2033755,2933301,2643831439,2577569466,176640570,143496428,0,1386,100287411,0,101870106,35373589247,53992404832,152525675129
membench,1,dram,rnd_prefetch,300,0.000000,15.527189054,101232661,170152630,8449221616,208811,1156716,2004923,2906197,2819060044,2636543246,171587707,152335735,0,6045,99850053,0,100183152,35788913495,60303523545,155775179452
membench,1,pmem,seq,300,0.000000,13.880973169,102932882,170970690,7549871545,184941,695003,43353,2977493,322976723,239783671,172256131,149672016,0,8113,5145,0,101228952,35306588532,53943883945,151866411685
membench,1,pmem,pgn,300,0.000000,51.862416795,107443443,178493276,7767933231,263844,100336758,91066,2974136,149269160079,149119286771,181333201,149575935,0,1397,0,0,100297183,35323560276,201590269730,152013966855
membench,1,pmem,rnd,300,0.000000,53.265676446,102446402,174085803,8267110889,272697,100363734,95762,2995808,148856810919,148768824024,173186364,150157909,0,9592,9,0,100231298,35816845019,207061620256,155312894130
membench,1,pmem,seq_prefetch,300,0.000000,13.999774550,103067232,170075203,7717721793,251495,1359935,37358,2997407,306190996,225804372,172099110,154958690,0,7436,99984085,0,100360766,35337601503,54395056705,152267501173
membench,1,pmem,pgn_prefetch,300,0.000000,27.406545187,107576598,177094636,7963426221,213116,564797,59856,2906128,55018833657,54934706458,178758736,150669851,0,5995,100098475,0,100217737,35338299836,106525527483,152498484234
membench,1,pmem,rnd_prefetch,300,0.000000,28.406864886,101517709,171699847,8472455789,217540,479882,58004,2848638,55156818028,55111098905,171006483,146747264,0,1386,100131267,0,100189934,35830258344,110411194470,155651478602
membench,1,dram,seq,400,0.000000,16.175542886,104016590,171130646,7566371066,175053,744769,1970426,2942480,143593846,70801150,170671177,143308610,0,1366,0,0,100272949,45260688808,62824609857,191664389847
membench,1,dram,pgn,400,0.000000,23.852369075,108728112,177665958,7769236687,98334317,100394403,2013490,2888271,31335104781,31269276507,177636227,145708094,0,1357,0,0,100235696,45343744583,92660981801,192104075042
membench,1,dram,rnd,400,0.000000,25.295283203,102310857,171349945,8247249235,98356563,100377321,1992896,2882966,31171994028,31109215325,171719192,149957945,0,5445,0,0,100264112,45823854698,98254079762,195246822132
membench,1,dram,seq_prefetch,400,0.000000,16.301364710,102722490,170397317,7753800864,154237,719521,2000523,2897372,147549843,75711963,172308670,146184229,0,3727,100250457,0,100320575,45282104895,63308328456,192135811562
membench,1,dram,pgn_prefetch,400,0.000000,16.383330421,107608659,176498468,7948921324,184356,786664,1992121,2956098,2331035259,2257067695,177758649,150447842,0,3866,100022868,0,101037804,45409956627,63643606753,192685086627
membench,1,dram,rnd_prefetch,400,0.000000,18.040506718,101216283,170343865,8458785876,156259,764254,1985116,2933225,2497938357,2197614187,173765471,146585957,0,2863,100154555,0,100396479,45871744523,70067573438,195986494957
membench,1,pmem,seq,400,0.000000,16.441928789,102935883,170112049,7553168578,196216,768057,45095,3025242,559658847,254384535,174084912,148708879,0,5770,0,0,100383356,45312220896,63891235973,191845918238
membench,1,pmem,pgn,400,0.000000,54.418880565,108807542,180514592,7793691204,755572,100335922,91169,2966559,149315604292,149251049318,178599642,147501646,0,1377,0,0,100242444,45326871229,211537485635,192040836991
membench,1,pmem,rnd,400,0.000000,55.719218871,101065414,172469405,8290413246,846647,101069224,93786,2935777,148577331530,148487566322,173246609,145314639,0,2541,0,0,100265212,45812597601,216604779291,195299770937
membench,1,pmem,seq_prefetch,400,0.000000,16.547956363,102825625,170454366,7759123232,186588,743368,38660,2964431,271428491,183967445,171430593,148960199,0,4070,100270867,0,100253910,45260161724,64299299812,192067240356
membench,1,pmem,pgn_prefetch,400,0.000000,28.647178753,108978346,179973841,7975936709,216512,518637,62284,2899719,49934701898,49858044070,178569818,144392980,0,6083,100158574,0,100277156,45356188337,111337953672,192549064120
membench,1,pmem,rnd_prefetch,400,0.000000,29.775306674,101128885,171512816,8468228630,220772,468588,61995,2944570,50234383110,50185136718,171718582,148007019,0,1352,100153974,0,100212320,45827276931,115725159996,195641484056
membench,1,dram,seq,500,0.000000,18.754340520,102584777,171075033,7563981026,179903,832823,2004413,2924806,152155811,70512511,170946172,148088423,0,5162,6017,0,100268206,55274654778,72845296366,231761332126
membench,1,dram,pgn,500,0.000000,26.479358181,107477739,176880432,7740181080,98648496,100499193,2028354,3007861,31613515469,31359474767,179700364,145841531,0,1431,0,0,100194826,55366388704,102858298665,232151310352
membench,1,dram,rnd,500,0.000000,27.905536853,100919286,170622113,8242725523,98825178,100954200,1986290,2894392,31234950639,31171495880,172391723,151254405,0,4870,0,0,100300199,55862283916,108426798253,235377141247
membench,1,dram,seq_prefetch,500,0.000000,18.871998388,102701019,170782726,7761069723,156744,827941,1977303,2928045,414075404,114030208,172618471,145034080,0,2434,100197082,0,101505398,55299245194,73326892418,232222301024
membench,1,dram,pgn_prefetch,500,0.000000,18.828726700,107535929,177851621,7975762594,181803,841355,2028256,2949801,1881409244,1808989157,176674255,144757771,0,1390,100137129,0,100215285,55349568517,73152594716,232636301872
membench,1,dram,rnd_prefetch,500,0.000000,20.470836190,101199780,170428404,8440274137,157072,694065,1974502,2913636,2096280605,1798409809,173736121,150662619,0,1854,99927914,0,100306145,55909342421,79521841916,235962365970
membench,1,pmem,seq,500,0.000000,19.000216029,104134253,171960955,7568024983,685373,827304,43390,2983609,276531949,189886701,171427577,147889054,0,4949,0,0,100308584,55307498824,73838798690,231822346241
membench,1,pmem,pgn,500,0.000000,56.974982963,107509500,179387605,7785482433,278925,100376900,96984,2966621,149075656388,148995171083,179141729,146070867,0,5593,8868,0,100294386,55333287047,221470574522,232074152755
membench,1,pmem,rnd,500,0.000000,58.397340360,101172950,172789269,8269529420,286811,100359297,99282,3041713,149325618112,149035736857,175644286,146758774,0,2057,9,0,100344128,55846189381,227003351704,235329990926
membench,1,pmem,seq_prefetch,500,0.000000,19.138495148,104054402,170890767,7764941230,199628,804896,47033,3013868,271811839,181377426,170924794,147889455,0,4694,100245257,0,100274152,55277007495,74294624439,232077985662
membench,1,pmem,pgn_prefetch,500,0.000000,30.034317810,107668443,177437267,7959529516,784607,1223615,61365,2962189,45259670706,45175118644,179172921,149877871,0,5336,100071409,0,100305112,55380634221,116732865917,232618730124
membench,1,pmem,rnd_prefetch,500,0.000000,31.054168817,101229599,171296159,8448133643,216014,446192,60072,2940938,45403182892,45370637307,173259275,150435917,0,8632,100064202,0,100352368,55877728648,120700933129,235711106710
membench,1,dram,seq,550,0.000000,20.053063862,103971020,171044994,7556341306,181739,851504,1990409,2947785,160084492,73856438,171545222,150318464,0,2036,0,0,100308688,60295160989,77897346232,251738226271
membench,1,dram,pgn,550,0.000000,27.715569751,107273728,177295468,7767712795,98358000,100305215,2000987,2901030,31277279176,31218324874,178027103,144142757,0,2534,6320,0,100219462,60361598855,107688333928,252172915575
membench,1,dram,rnd,550,0.000000,29.272141633,100905409,170572880,8249503519,98865825,100958111,1985695,2850531,31687271383,31632456913,172158434,151741251,0,5911,0,0,100295054,60882400230,113741398604,255498225745
membench,1,dram,seq_prefetch,550,0.000000,20.195613548,102653106,170338107,7739112965,149011,811995,1975292,2931799,147313734,62742947,172284934,152666110,0,4797,99976220,0,100234161,60301419447,78430075554,252166303265
membench,1,dram,pgn_prefetch,550,0.000000,20.090578512,107580905,176894446,7951811601,189466,792668,1981119,2915118,2040446640,1740863841,180347564,152140557,0,3362,100161508,0,101825561,60419433164,78040064152,252728677194
membench,1,dram,rnd_prefetch,550,0.000000,21.681333488,101139340,171212249,8468804354,156304,1204874,1988338,2904515,1766487904,1642791230,171308507,144071286,0,2933,100213114,0,100259327,60819215849,84213888530,255802505679
membench,1,pmem,seq,550,0.000000,20.299753195,102777617,172410017,7564436610,749582,1547062,45269,3027103,339201094,247016176,171351074,148199647,0,1363,0,0,100311157,60324695390,78891324369,251877792634
membench,1,pmem,pgn,550,0.000000,58.293776426,108914068,180218420,7781139699,802565,100397809,100183,2935078,149212201759,149119998175,180605884,149992650,0,13851,0,0,100311981,60343020226,226596981190,252042098598
membench,1,pmem,rnd,550,0.000000,59.773661178,101092428,173260125,8283319673,287760,100397435,106751,2941662,149178487207,149107077263,175338095,148633457,0,1354,0,0,100330921,60834331788,232360368815,255363757751
membench,1,pmem,seq_prefetch,550,0.000000,20.446327005,103962470,171825270,7762451882,717773,962889,49674,2964024,274311376,179908053,172323375,150638996,0,14193,100077156,0,100371666,60346497516,79448197817,252328112022
membench,1,pmem,pgn_prefetch,550,0.000000,30.694079171,109046676,179163708,7950695306,227025,531527,65133,2969321,42764330125,42674274027,179487312,150446678,0,14472,99995610,0,100305359,60368197872,119296896236,252514033605
membench,1,pmem,rnd_prefetch,550,0.000000,31.698546602,101474181,173428296,8486568539,741353,995045,63953,2952478,42849388596,42812277760,171657063,146412528,0,1377,100120402,0,100254122,60864016733,123213875641,255855473346
membench,1,dram,seq,600,0.000000,21.338870540,102607596,170887211,7558969098,176381,866780,1984125,2870956,152930570,65239865,171128094,150877453,0,6193,3602,0,100285110,65288180766,82884880958,271770872237
membench,1,dram,pgn,600,0.000000,29.024227157,108648589,179239138,7759057965,98386892,100285987,1990725,2876532,31311655193,31249313981,177915038,142733810,0,3794,0,0,100257609,65361757511,112755297886,272102656317
membench,1,dram,rnd,600,0.000000,30.463564257,102268902,171908136,8272700585,98323575,100271054,1972744,2860125,31236480009,31196794611,171521585,144142388,0,1376,0,0,100192015,65839701171,118379661667,275365457309
membench,1,dram,seq_prefetch,600,0.000000,21.449043186,102601480,171071932,7751602410,460682,1496349,1979622,2901700,147324331,60377370,171026827,150830991,0,5956,100163261,0,100306897,65312053188,83291890063,272212078307
membench,1,dram,pgn_prefetch,600,0.000000,21.353007125,108932531,179167161,7964802824,395736,771812,1983633,2895114,1616306825,1543346201,178209317,145293309,0,1909,100176030,0,100309731,65419629392,82950442707,272650280289
membench,1,dram,rnd_prefetch,600,0.000000,22.966149135,101125546,170192652,8432384570,465489,1308453,2005238,2913003,1512047796,1446887321,172219308,151767880,0,1782,100007633,0,100324524,65943668603,89224572656,276022601564
membench,1,pmem,seq,600,0.000000,21.579858055,104083103,171927892,7561009665,513481,884275,46791,3022291,278464798,187995679,171571714,147554497,0,3233,0,0,100294711,65313374877,83866838494,271715385718
membench,1,pmem,pgn,600,0.000000,59.599882810,107480904,177861807,7775028489,326371,101069636,100071,2968000,149229545507,149136443372,181150535,149225202,0,7616,9,0,100324436,65338272853,231676355760,271979113311
membench,1,pmem,rnd,600,0.000000,61.025817693,102475346,174168679,8279734038,784071,100387696,102295,2987581,149020846684,148942443075,173899603,148463210,0,4863,37,0,100278529,65831506888,237230585359,275306235476
membench,1,pmem,seq_prefetch,600,0.000000,21.709281491,102926017,170262294,7748417822,207668,881709,50272,3053777,279807021,180961941,172562879,150227897,0,5846,99905637,0,100286982,65336847805,84368764997,272268173390
membench,1,pmem,pgn_prefetch,600,0.000000,31.357874304,107606246,177763010,7974908584,216778,496173,67227,2896017,40373718531,40317679058,178137781,147653384,0,1419,100072264,0,100253048,65363628608,121889526673,272563359343
membench,1,pmem,rnd_prefetch,600,0.000000,32.381234202,101236737,171879671,8460332549,767977,1138775,68253,2969495,40441915388,40384698499,172799406,148652347,0,7458,100042750,0,100270248,65873554152,125870643101,275775523474
membench,1,dram,seq,650,0.000000,22.617282032,102592500,171351882,7568700257,183697,880307,1970037,2916023,147271645,67384498,170875582,145026781,0,1420,6323,0,100261226,70297995171,87853672416,291800287469
membench,1,dram,pgn,650,0.000000,30.304946786,107283914,177358050,7758658794,98422782,100305586,2015584,2896618,31247688367,31183741730,178661569,143238015,0,3607,3602,0,100237865,70356626952,117720582995,292131722532
membench,1,dram,rnd,650,0.000000,31.724926542,100867151,172070933,8272519670,98277033,100267155,2008523,2844537,31451178534,31190422804,173592871,143686869,0,1364,0,0,100225137,70849260729,123251496206,295392339445
membench,1,dram,seq_prefetch,650,0.000000,22.773567323,102639303,170679697,7751966743,161406,914609,1998623,2948059,139587168,55291055,172014305,145096940,0,3839,100033796,0,100255210,70328770924,88439731769,292267773847
membench,1,dram,pgn_prefetch,650,0.000000,22.564162769,108920615,179088290,7962571902,193578,741339,2010587,2898205,1444620562,1376966138,177855592,144308734,0,3000,100184711,0,100287629,70398948187,87671998514,292612604827
membench,1,dram,rnd_prefetch,650,0.000000,24.192843075,101020694,171447514,8468226012,162128,573038,1984047,2862948,1735877793,1454076340,172395097,143898053,0,1364,100217205,0,100308288,70929483724,93983705588,295934177516
membench,1,pmem,seq,650,0.000000,22.880550879,103091873,171950675,7550220831,689101,1425416,45044,3033511,268082552,168672743,172663958,153387652,0,7700,0,0,100238645,70333345346,88918160039,291967343351
membench,1,pmem,pgn,650,0.000000,60.821184475,107441122,179775801,7795299453,292247,100876070,113506,2888031,149197847063,149072635785,178617649,145764315,0,1368,0,0,100293209,70338808443,236441589426,292084650417
membench,1,pmem,rnd,650,0.000000,62.268368793,101152283,172679525,8259242326,300538,100426692,111135,3045086,149074545418,148765998983,176146754,149400309,0,11052,0,0,100297922,70837064316,242047536357,295306485064
membench,1,pmem,seq_prefetch,650,0.000000,23.004691680,102754110,171137232,7774983537,205180,869889,48594,2972829,255884154,160704512,170698622,146131850,0,1451,100081185,0,100176517,70262693260,89404003436,292170775391
membench,1,pmem,pgn_prefetch,650,0.000000,31.945248399,107527515,178205675,7977136528,229151,500777,69082,2878116,38099651341,37808111053,179889508,145553786,0,1378,100083269,0,100214456,70354101399,124160367705,292545807307
membench,1,pmem,rnd_prefetch,650,0.000000,33.006358173,101286920,171166773,8442285208,225267,450562,74836,2987263,38099652585,37823302412,174365376,152825453,0,6834,100073420,0,100289796,70869792451,128291649879,295774276590
membench,1,dram,seq,700,0.000000,23.897076155,102517946,171673526,7570810928,180102,924719,1945044,2890530,236628666,124172323,172676864,145653213,0,1379,0,0,100254723,75294627461,92839739625,311801999434
membench,1,dram,pgn,700,0.000000,31.676798422,108174693,177745262,7755968956,98415302,100270866,1981113,2846649,31679420465,31614816156,178820004,149963643,0,2881,0,0,100212951,75352767354,123048885178,312094185132
membench,1,dram,rnd,700,0.000000,33.115428696,100871397,171238792,8257812771,98339300,100325724,1987562,2855686,31649990166,31591181175,172424385,151389347,0,3370,6327,0,100237056,75866537048,128661868951,315449432656
membench,1,dram,seq_prefetch,700,0.000000,24.034262509,102606199,170664409,7758411618,182640,1533231,1992046,2944631,157730500,66953522,171851327,150041592,0,4496,100189116,0,100780370,75322908358,93359043313,312243568307
membench,1,dram,pgn_prefetch,700,0.000000,23.868220811,108067332,178530166,7955663490,738862,1099100,1981715,2906759,1359434910,1287777620,178498811,151736427,0,3605,100077163,0,100514693,75433526415,92698199460,312761831787
membench,1,dram,rnd_prefetch,700,0.000000,25.523761033,102402749,171451681,8460481669,157879,510210,1992763,2850557,1316838066,1254489607,171500286,149254998,0,1747,100138601,0,100215426,75826241060,99152614660,315626712871
membench,1,pmem,seq,700,0.000000,24.147590041,102882838,170652762,7539695777,226828,921884,54914,3096520,259194614,157131748,172795578,148621201,0,7470,1798,0,100250146,75290989690,93847987927,311791381648
membench,1,pmem,pgn,700,0.000000,62.137144550,107449467,179483205,7776475691,281565,100375718,122536,2995224,149212424490,149167966533,179570825,147740204,0,1453,5112,0,100297800,75343757399,241550486862,312090029097
membench,1,pmem,rnd,700,0.000000,63.544051334,101069300,172931704,8278774312,780602,101032224,109853,2978997,149078706962,149021881812,173817785,148389544,0,4964,0,0,100307683,75832630943,247022244991,315304639841
membench,1,pmem,seq_prefetch,700,0.000000,24.258526668,102791282,170783543,7760650796,650053,1501339,54065,3019238,254627302,156935910,171611398,148948905,0,1349,100159724,0,100284846,75306265546,94271442653,312205951968
membench,1,pmem,pgn_prefetch,700,0.000000,32.591915340,109037845,178181833,7972668078,226594,491642,64466,2919605,35190958992,35115965055,179181964,145323626,0,4961,100130033,0,100250524,75360414220,126690463021,312564401321
membench,1,pmem,rnd_prefetch,700,0.000000,33.699402622,101163483,171955454,8484383120,223407,446953,65315,2917531,35887261462,35597653998,173733801,147194285,0,1378,100081659,0,100218706,75841941111,130981742748,315749162592
membench,1,dram,seq,750,0.000000,25.201238283,102638459,171151123,7568860718,183235,912432,2001434,2952596,144065202,58096628,171299888,145855301,0,3163,6361,0,100397554,80313746600,97879020978,331832443295
membench,1,dram,pgn,750,0.000000,33.015158214,107240575,177233960,7744067733,98448156,100299651,1970616,2862287,31805186395,31679574949,180905293,152258461,0,4045,0,0,100291557,80400108755,128265315700,332218004951
membench,1,dram,rnd,750,0.000000,34.383650011,100858270,171288562,8270060248,98355331,100314055,1997068,2864469,31837531019,31605772491,173472680,146950167,0,1392,0,0,100226212,80855014555,133609912268,335359525811
membench,1,dram,seq_prefetch,750,0.000000,25.342526978,102581834,171007191,7752223062,161247,885733,1980796,2906819,149711818,97789858,173215372,150388932,0,5673,100167821,0,100263975,80315179485,98461569432,332226447034
membench,1,dram,pgn_prefetch,750,0.000000,25.097623214,107601847,178160951,7958902982,344005,1277157,1996309,2872901,1249402964,1184335611,177827304,146296897,0,2989,100164184,0,100284868,80404822704,97513365980,332714716017
membench,1,dram,rnd_prefetch,750,0.000000,26.697989090,101002423,171609297,8471894573,162102,705312,1975736,2778471,1307542778,1093526842,171401275,149633087,0,3242,100047319,0,100131277,80777491652,103736241017,335572930699
membench,1,pmem,seq,750,0.000000,25.456237653,104216605,172120417,7560328993,654560,918727,55152,3024193,249385645,146115582,172938952,151000166,0,7774,4,0,100304743,80344116420,98922404174,331785199281
membench,1,pmem,pgn,750,0.000000,63.468404999,107454437,181471384,7801289671,799430,100999744,120989,2933258,149304541770,149238680171,178507655,146405806,0,1368,0,0,100259026,80341343417,246715778087,332085969184
membench,1,pmem,rnd,750,0.000000,64.712598085,101127589,173021115,8279476392,297881,100337252,112887,2954565,148586744554,148542775412,175459525,145424723,0,1387,0,0,100345602,80862606940,251562168778,335372667371
